"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"C3";"100nF";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"C4";"100nF";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"C5";"100nF";"CPOL-EUE5-5";"E5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"DRIVER";"";"ULN2803A";"DIL18";"DRIVER ARRAY";"";"";"";"";"";
"ENTRADA_BATERIA";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";
"ENTRADA_BUZZER";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER";"";"";"";"";"";
"ENTRADA_MODULO_FTDI";"";"PINHD-1X6/90";"1X06/90";"PIN HEADER";"";"";"";"";"";
"ENTRADA_TECLADO";"";"PINHD-1X3/90";"1X03/90";"PIN HEADER";"";"";"";"";"";
"LED_DIREITA";"AMARELO";"LED5MM";"LED5MM";"LED";"";"";"";"";"";
"LED_ESQUERDA";"VERMELHO";"LED5MM";"LED5MM";"LED";"";"";"";"";"";
"LED_FRENTE";"AZUL";"LED5MM";"LED5MM";"LED";"";"";"";"";"";
"LED_TRAS1";"LARANJA";"LED5MM";"LED5MM";"LED";"";"";"";"";"";
"MICROCONTROLADOR";"MEGA8-P";"MEGA8-P";"DIL28-3";"MICROCONTROLLER";"";"";"unknown";"unknown";"";
"Q1";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";"";"";"";"";
"R1";"150R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"150R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"150R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R4";"150R";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R5";"1K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R6";"1K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R7";"33k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"R8";"68k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";
"REGULADOR_DE_TENSAO";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"REG1117";"1097566";"14P6981";"";
"SAIDA_MOTOR_A";"";"PINHD-1X5/90";"1X05/90";"PIN HEADER";"";"";"";"";"";
"SAIDA_MOTOR_B";"";"PINHD-1X5/90";"1X05/90";"PIN HEADER";"";"";"";"";"";
